station,valid,high,low,rh_min,rh,rh_max,gdd50,solar_mj,precip,speed
CRFI4,2020-01-01,49.36999999999989,18.874399999999984,61.11,81.81041669845581,98.0,0.0,8.76,0.0,9.730689
CRFI4,2020-01-02,52.879999999999974,33.57139999999992,72.32,85.96538485013522,97.9,1.4,9.88416,0.0,8.646262
CRFI4,2020-01-03,36.156199999999984,31.096399999999917,88.6,93.93333339691162,100.0,0.0,2.361312,0.0,6.038487
CRFI4,2020-01-04,33.99079999999993,21.66799999999992,88.9,94.8000005086263,100.0,0.0,3.0335039999999998,0.0,9.520622
CRFI4,2020-01-05,47.17399999999995,25.152799999999985,65.01,79.29583390553792,96.0,0.0,7.3699200000000005,0.0,15.614095
CRFI4,2020-01-06,42.66679999999992,22.0711999999999,50.23,79.87791633605957,97.0,0.0,5.655743999999999,0.0,4.164423
CRFI4,2020-01-07,41.23039999999991,24.789199999999987,56.75,78.78874969482422,91.1,0.0,7.70688,0.0,7.392465
CRFI4,2020-01-08,30.22159999999994,14.593999999999909,53.04,65.41458384195964,81.8,0.0,7.56864,0.0,11.737646
CRFI4,2020-01-09,60.69199999999993,28.399999999999935,58.38,71.61041609446208,84.0,5.3,5.8432319999999995,0.0,15.347062
CRFI4,2020-01-10,37.13899999999997,27.12199999999997,85.6,94.1875,99.6,0.0,1.8541439,0.41,8.469927
CRFI4,2020-01-11,31.132399999999887,22.9279999999999,92.1,96.30416679382324,98.3,0.0,3.0162239,0.25,3.3119075
CRFI4,2020-01-12,29.07319999999998,19.641199999999962,93.4,95.76250012715657,100.0,0.0,5.018975999999999,0.0,2.3123868
CRFI4,2020-01-13,34.40839999999998,29.019199999999927,92.0,97.57083288828532,100.0,0.0,4.001184,0.060000002,4.3872466
CRFI4,2020-01-14,38.011999999999894,26.538799999999952,86.2,96.38333320617676,100.0,0.0,8.44992,0.010000001,7.6741076
CRFI4,2020-01-15,33.463399999999915,10.50799999999994,82.7,96.15833314259847,100.0,0.0,2.0571840000000003,0.040000003,12.503001
CRFI4,2020-01-16,16.285999999999905,2.9839999999999294,76.61,81.55541610717773,89.2,0.0,9.68544,0.0,10.24924
CRFI4,2020-01-17,31.9711999999999,11.317999999999921,83.7,93.11666647593181,99.3,0.0,1.696896,0.57,12.281423
CRFI4,2020-01-18,34.6279999999999,1.0039999999999394,76.04,88.09958330790202,100.0,0.0,7.0243203,0.0,16.813675
CRFI4,2020-01-19,8.707999999999942,-1.4080000000000665,77.85,82.52000013987224,87.3,0.0,7.4044799999999995,0.0,15.544014
